"Name","First_Name","Party","Twitter_Id"
"Abdi","Sanae","SPD","200695422"
"Akbulut","Gökay","Die Linke","800457587510476800"
"Abel","Valentin","FDP","1699863337"
"Al-Dailami","Ali","Die Linke","989599708917137408"
"Abraham","Knut","CDU/CSU","0"
"Al-Halak","Muhanad","FDP","0"
"Adler","Katja","FDP","712941191"
"Alabali-Radovan","Reem","SPD","1217456777643659269"
"Aeffner","Stephanie","Bündnis 90/Die Grünen","0"
"Albani","Stephan","CDU/CSU","0"
"Ahmetovic","Adis","SPD","0"
"Alt","Renata","FDP","1001837201276235777"
"Abdi","Sanae","SPD","200695422"
"Abel","Valentin","FDP","1699863337"
"Abraham","Knut","CDU/CSU","0"
"Adler","Katja","FDP","712941191"
"Aeffner","Stephanie","Bündnis 90/Die Grünen","0"
"Ahmetovic","Adis","SPD","0"
"Akbulut","Gökay","Die Linke","800457587510476800"
"Al-Dailami","Ali","Die Linke","989599708917137408"
"Al-Halak","Muhanad","FDP","0"
"Alabali-Radovan","Reem","SPD","1217456777643659269"
"Albani","Stephan","CDU/CSU","0"
"Alt","Renata","FDP","1001837201276235777"
"Altenkamp","Norbert","CDU/CSU","0"
"Altmaier","Peter","CDU/CSU","3264407271"
"Amthor","Philipp","CDU/CSU","0"
"Amtsberg","Luise","Bündnis 90/Die Grünen","0"
"Andres","Dagmar","SPD","0"
"Annen","Niels","SPD","0"
"Arlt","Johannes","SPD","0"
"Aschenberg-Dugnus","Christine","FDP","25980076"
"Audretsch","Andreas","Bündnis 90/Die Grünen","0"
"Auernhammer","Artur","CDU/CSU","0"
"Aumer","Peter","CDU/CSU","348460907"
"Außendorf","Maik","Bündnis 90/Die Grünen","0"
"Bacherle","Tobias","Bündnis 90/Die Grünen","0"
"Bachmann","Carolin","AfD","0"
"Badum","Lisa","Bündnis 90/Die Grünen","0"
"Baehrens","Heike","SPD","0"
"Bär","Dorothee","CDU/CSU","140821364"
"Bär","Karl","Bündnis 90/Die Grünen","33172351"
"Baerbock","Annalena","Bündnis 90/Die Grünen","1216015292"
"Bahr","Ulrike","SPD","724565991104110592"
"Baldy","Daniel","SPD","0"
"Banaszak","Felix","Bündnis 90/Die Grünen","0"
"Baradari","Nezahat","SPD","0"
"Bareiß","Thomas","CDU/CSU","2797812265"
"Bartol","Sören","SPD","0"
"Bartsch","Dietmar","Die Linke","0"
"Bas","Bärbel","SPD","0"
"Bauer","Nicole","FDP","1061873979760263168"
"Baum","Christina","AfD","955899834325700609"
"Baumann","Bernd","AfD","3043727333"
"Bayram","Canan","Bündnis 90/Die Grünen","587862375"
"Beck","Katharina","Bündnis 90/Die Grünen","36052322"
"Beckamp","Roger","AfD","4755310637"
"Becker","Holger","SPD","0"
"Beeck","Jens","FDP","0"
"Benner","Lukas","Bündnis 90/Die Grünen","0"
"Berghahn","Jürgen","SPD","0"
"Berghegger","André","CDU/CSU","0"
"Bergt","Bengt","SPD","1319941408422318081"
"Bernhard","Marc","AfD","805823950253150208"
"Beyer","Peter","CDU/CSU","445375409"
"Biadacz","Marc","CDU/CSU","935815000006053888"
"Bilger","Steffen","CDU/CSU","23925041"
"Birkwald","Matthias W.","Die Linke","0"
"Blankenburg","Jakob","SPD","0"
"Bleck","Andreas","AfD","910878654535749632"
"Bochmann","René","AfD","0"
"Bodtke","Ingo","FDP","0"
"Boehringer","Peter","AfD","99268600"
"Boginski","Friedhelm","FDP","0"
"Bollmann","Gereon","AfD","0"
"Borchardt","Simone","CDU/CSU","0"
"Brand ","Michael","CDU/CSU","0"
"Brandenburg ","Jens","FDP","857906951707127808"
"Brandenburg ","Mario","FDP","802968497831739392"
"Brandes","Dirk","AfD","0"
"Brandl","Reinhard","CDU/CSU","262730721"
"Brandner","Stephan","AfD","713361366858481664"
"Brantner","Franziska","Bündnis 90/Die Grünen","32323724"
"Braun","Helge","CDU/CSU","0"
"Braun","Jürgen","AfD","917756296555892736"
"Breher","Silvia","CDU/CSU","0"
"Brehm","Sebastian","CDU/CSU","904304932257492992"
"Brehmer","Heike","CDU/CSU","0"
"Breilmann","Michael","CDU/CSU","0"
"Breymaier","Leni","SPD","748453543632330752"
"Brinkhaus","Ralph","CDU/CSU","0"
"Brodesser","Carsten","CDU/CSU","0"
"Bröhr","Marlon","CDU/CSU","0"
"Brugger","Agnieszka","Bündnis 90/Die Grünen","172269309"
"Bsirske","Frank","Bündnis 90/Die Grünen","0"
"Bubendorfer-Licht","Sandra","FDP","0"
"Budde","Katrin","SPD","0"
"Bühl","Marcus","AfD","729360191263780867"
"Bury","Yannick","CDU/CSU","0"
"Buschmann","Marco","FDP","0"
"Busen","Karlheinz","FDP","935554963639558145"
"Bystron","Petr","AfD","810957560723505152"
"Cademartori Dujisin","Isabel","SPD","0"
"Castellucci","Lars","SPD","17469649"
"Christmann","Anna","Bündnis 90/Die Grünen","1617177360"
"Chrupalla","Tino","AfD","797137333820784640"
"Connemann","Gitta","CDU/CSU","0"
"Coße","Jürgen","SPD","161395160"
"Cotar","Joana","AfD","814970546366611457"
"Cronenberg","Carl-Julius","FDP","0"
"Curio","Gottfried","AfD","0"
"Czaja","Mario","CDU/CSU","0"
"Dahmen","Janosch","Bündnis 90/Die Grünen","16697497"
"Daldrup","Bernhard","SPD","1329019163126476800"
"Damerow","Astrid","CDU/CSU","0"
"Dağdelen","Sevim","Die Linke","0"
"Deligöz","Ekin","Bündnis 90/Die Grünen","22125770"
"Demir","Hakan","SPD","2942564267"
"Detzer","Sandra","Bündnis 90/Die Grünen","797777115689132032"
"Diaby","Karamba","SPD","0"
"Diedenhofen","Martin","SPD","785136227775344640"
"Dieren","Jan","SPD","0"
"Dietz","Thomas","AfD","0"
"Dilcher","Esther","SPD","939092636165689345"
"Dittmar","Sabine","SPD","0"
"Djir-Sarai","Bijan","FDP","0"
"Dobrindt","Alexander","CDU/CSU","0"
"Döring","Felix","SPD","0"
"Domscheit-Berg","Anke","Die Linke","16557497"
"Donth","Michael","CDU/CSU","0"
"Dröge","Katharina","Bündnis 90/Die Grünen","0"
"Droßmann","Falko","SPD","0"
"Düring","Deborah","Bündnis 90/Die Grünen","0"
"Dürr","Christian","FDP","17535941"
"Durz","Hansjörg","CDU/CSU","0"
"Ebner","Harald","Bündnis 90/Die Grünen","52431948"
"Echeverria","Axel","SPD","1442399387045429253"
"Eckert","Leon","Bündnis 90/Die Grünen","714742039"
"Edelhäußer","Ralph","CDU/CSU","0"
"Ehrhorn","Thomas","AfD","3242322815"
"Eichwede","Sonja","SPD","0"
"Emmerich","Marcel","Bündnis 90/Die Grünen","0"
"Engelhard","Alexander","CDU/CSU","0"
"Engelhardt","Heike","SPD","0"
"Englhardt-Kopf","Martina","CDU/CSU","0"
"Erndl","Thomas","CDU/CSU","2192588903"
"Ernst","Klaus","Die Linke","64994645"
"Esdar","Wiebke","SPD","0"
"Esken","Saskia","SPD","1423622834"
"Espendiller","Michael","AfD","885167849685340161"
"Faber","Marcus","FDP","22364234"
"Färber","Hermann","CDU/CSU","0"
"Fäscher","Ariane","SPD","0"
"Fahimi","Yasmin","SPD","0"
"Farle","Robert","AfD","0"
"Fechner","Johannes","SPD","1105754727101485058"
"Feiler","Uwe","CDU/CSU","0"
"Felser","Peter","AfD","3384789731"
"Ferlemann","Enak","CDU/CSU","0"
"Ferschl","Susanne","Die Linke","1096063189249331201"
"Fester","Emilia","Bündnis 90/Die Grünen","0"
"Fiedler","Sebastian","SPD","0"
"Föst","Daniel","FDP","0"
"Franke","Edgar","SPD","481393623"
"Frei","Thorsten","CDU/CSU","1181598578508214272"
"Fricke","Otto","FDP","18044683"
"Friedhoff","Dietmar","AfD","0"
"Friedrich ","Hans-Peter","CDU/CSU","0"
"Frieser","Michael","CDU/CSU","4577700622"
"Frömming","Götz","AfD","809895794"
"Frohnmaier","Markus","AfD","4130621842"
"Funke","Fabian","SPD","941607536968519680"
"Funke-Kaiser","Maximilian","FDP","0"
"Gädechens","Ingo","CDU/CSU","0"
"Gambir","Schahina","Bündnis 90/Die Grünen","0"
"Ganserer","Tessa","Bündnis 90/Die Grünen","0"
"Gaßner-Herz","Martin","FDP","0"
"Gastel","Matthias","Bündnis 90/Die Grünen","727782559"
"Gauland","Alexander","AfD","0"
"Gava","Manuel","SPD","0"
"Gebhart","Thomas","CDU/CSU","51483238"
"Gehring","Kai","Bündnis 90/Die Grünen","110368456"
"Geissler","Jonas","CDU/CSU","0"
"Gelbhaar","Stefan","Bündnis 90/Die Grünen","426582569"
"Gerdes","Michael","SPD","2468956470"
"Gerschau","Knut","FDP","0"
"Gerster","Martin","SPD","0"
"Gesenhues","Jan-Niclas","Bündnis 90/Die Grünen","0"
"Glaser","Albrecht","AfD","0"
"Glöckner","Angelika","SPD","0"
"Gnauck","Hannes","AfD","1325859656015679493"
"Göring-Eckardt","Katrin","Bündnis 90/Die Grünen","0"
"Görke","Christian","Die Linke","2669131375"
"Gohlke","Nicole","Die Linke","866425075"
